# Pin Out For ECP5U-25,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA381,CSFBGA285,CABGA256
1,PL2A,7,-,True_OF_PL2B,TRUE,LDQ8,A4,C12,B1
2,PL2B,7,-,Comp_OF_PL2A,TRUE,LDQ8,A5,B12,B2
3,VSSIO7,-,-,-,-,-,-,-,-
4,PL2C,7,-,True_OF_PL2D,-,LDQ8,B5,-,C3
5,VCCIO7,-,-,-,-,-,-,-,-
6,PL2D,7,-,Comp_OF_PL2C,-,LDQ8,C5,-,D3
7,PL5A,7,-,True_OF_PL5B,TRUE,LDQ8,C4,A12,C1
8,VCCAUX,-,-,-,-,-,-,-,-
9,PL5C,7,-,True_OF_PL5D,-,LDQ8,A3,-,E3
10,PL5B,7,-,Comp_OF_PL5A,TRUE,LDQ8,B4,-,C2
11,VSS,-,-,-,-,-,-,-,-
12,PL5D,7,-,Comp_OF_PL5C,-,LDQ8,B3,-,F3
13,PL8A,7,-,True_OF_PL8B,TRUE,LDQS8,E4,D13,D1
14,VCC,-,-,-,-,-,-,-,-
15,PL8C,7,-,True_OF_PL8D,-,LDQ8,C3,-,F4
16,PL8B,7,-,Comp_OF_PL8A,TRUE,LDQSN8,D5,C13,E2
17,VSS,-,-,-,-,-,-,-,-
18,PL8D,7,-,Comp_OF_PL8C,-,LDQ8,D3,-,F5
19,PL11A,7,-,True_OF_PL11B,TRUE,LDQ8,F4,-,G5
20,VSSIO7,-,-,-,-,-,-,-,-
21,PL11C,7,-,True_OF_PL11D,-,LDQ8,E5,-,F2
22,PL11B,7,-,Comp_OF_PL11A,TRUE,LDQ8,E3,-,G4
23,VCCIO7,-,-,-,-,-,-,-,-
24,PL11D,7,-,Comp_OF_PL11C,-,LDQ8,F5,-,E1
25,PL14A,7,-,True_OF_PL14B,TRUE,LDQ20,A2,B13,F1
26,VSSIO7,-,-,-,-,-,-,-,-
27,PL14C,7,VREF1_7,True_OF_PL14D,-,LDQ20,B2,C15,G3
28,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ20,B1,A13,G2
29,VCCIO7,-,-,-,-,-,-,-,-
30,PL14D,7,-,Comp_OF_PL14C,-,LDQ20,C2,A15,H3
31,PL17A,7,-,True_OF_PL17B,TRUE,LDQ20,C1,D15,H5
32,VCCAUX,-,-,-,-,-,-,-,-
33,PL17C,7,-,True_OF_PL17D,-,LDQ20,D2,-,J4
34,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQ20,D1,D16,H4
35,VSS,-,-,-,-,-,-,-,-
36,PL17D,7,-,Comp_OF_PL17C,-,LDQ20,E1,-,J5
37,PL20A,7,GR_PCLK7_1,True_OF_PL20B,TRUE,LDQS20,H4,B15,G1
38,VCC,-,-,-,-,-,-,-,-
39,PL20C,7,GR_PCLK7_0,True_OF_PL20D,-,LDQ20,H5,C16,J3
40,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQSN20,G5,A16,H2
41,VSS,-,-,-,-,-,-,-,-
42,PL20D,7,-,Comp_OF_PL20C,-,LDQ20,H3,-,K3
43,PL23A,7,PCLKT7_1,True_OF_PL23B,TRUE,LDQ20,G3,A17,J1
44,VSSIO7,-,-,-,-,-,-,-,-
45,PL23C,7,PCLKT7_0,True_OF_PL23D,-,LDQ20,F2,B18,K1
46,PL23B,7,PCLKC7_1,Comp_OF_PL23A,TRUE,LDQ20,F3,B17,J2
47,VCCIO7,-,-,-,-,-,-,-,-
48,PL23D,7,PCLKC7_0,Comp_OF_PL23C,-,LDQ20,E2,C17,K2
49,PL26A,6,PCLKT6_1,True_OF_PL26B,TRUE,LDQ32,G2,D17,L1
50,VSSIO6,-,-,-,-,-,-,-,-
51,PL26C,6,PCLKT6_0,True_OF_PL26D,-,LDQ32,H2,D18,M1
52,PL26B,6,PCLKC6_1,Comp_OF_PL26A,TRUE,LDQ32,F1,C18,L2
53,VCCIO6,-,-,-,-,-,-,-,-
54,PL26D,6,PCLKC6_0,Comp_OF_PL26C,-,LDQ32,G1,F18,M2
55,PL29A,6,GR_PCLK6_0,True_OF_PL29B,TRUE,LDQ32,J4,F17,K4
56,VCCAUX,-,-,-,-,-,-,-,-
57,PL29C,6,GR_PCLK6_1,True_OF_PL29D,-,LDQ32,J3,F15,L4
58,PL29B,6,-,Comp_OF_PL29A,TRUE,LDQ32,J5,F16,K5
59,VSS,-,-,-,-,-,-,-,-
60,PL29D,6,-,Comp_OF_PL29C,-,LDQ32,K3,G16,L5
61,PL32A,6,-,True_OF_PL32B,TRUE,LDQS32,K2,G18,N1
62,VCC,-,-,-,-,-,-,-,-
63,PL32C,6,-,True_OF_PL32D,-,LDQ32,H1,-,L3
64,PL32B,6,-,Comp_OF_PL32A,TRUE,LDQSN32,J1,H17,P2
65,VSS,-,-,-,-,-,-,-,-
66,PL32D,6,-,Comp_OF_PL32C,-,LDQ32,K1,-,M3
67,PL35A,6,-,True_OF_PL35B,TRUE,LDQ32,K4,G15,P1
