Device/Package 6slx16ftg256 Wed Mar 31 17:26:11 2010 

Pin	Bank	BUFIO2	Pin Description 

C4	0	TL	IO_L1P_HSWAPEN_0 
A4	0	TL	IO_L1N_VREF_0 
B5	0	TL	IO_L2P_0 
A5	0	TL	IO_L2N_0 
D5	0	TL	IO_L3P_0 
C5	0	TL	IO_L3N_0 
B6	0	TL	IO_L4P_0 
A6	0	TL	IO_L4N_0 
F7	0	TL	IO_L5P_0 
E6	0	TL	IO_L5N_0 
C7	0	TL	IO_L6P_0 
A7	0	TL	IO_L6N_0 
D6	0	TL	IO_L7P_0 
C6	0	TL	IO_L7N_0 
B8	0	TL	IO_L33P_0 
A8	0	TL	IO_L33N_0 
C9	0	TL	IO_L34P_GCLK19_0 
A9	0	TL	IO_L34N_GCLK18_0 
B10	0	TL	IO_L35P_GCLK17_0 
A10	0	TL	IO_L35N_GCLK16_0 
E7	0	TR	IO_L36P_GCLK15_0 
E8	0	TR	IO_L36N_GCLK14_0 
E10	0	TR	IO_L37P_GCLK13_0 
C10	0	TR	IO_L37N_GCLK12_0 
D8	0	TR	IO_L38P_0 
C8	0	TR	IO_L38N_VREF_0 
C11	0	TR	IO_L39P_0 
A11	0	TR	IO_L39N_0 
F9	0	TR	IO_L40P_0 
D9	0	TR	IO_L40N_0 
B12	0	TR	IO_L62P_0 
A12	0	TR	IO_L62N_VREF_0 
C13	0	TR	IO_L63P_SCP7_0 
A13	0	TR	IO_L63N_SCP6_0 
F10	0	TR	IO_L64P_SCP5_0 
E11	0	TR	IO_L64N_SCP4_0 
B14	0	TR	IO_L65P_SCP3_0 
A14	0	TR	IO_L65N_SCP2_0 
D11	0	TR	IO_L66P_SCP1_0 
D12	0	TR	IO_L66N_SCP0_0 
C14	NA	NA	TCK 
C12	NA	NA	TDI 
A15	NA	NA	TMS 
E14	NA	NA	TDO 
E13	1	RT	IO_L1P_A25_1 
E12	1	RT	IO_L1N_A24_VREF_1 
B15	1	RT	IO_L29P_A23_M1A13_1 
B16	1	RT	IO_L29N_A22_M1A14_1 
F12	1	RT	IO_L30P_A21_M1RESET_1 
G11	1	RT	IO_L30N_A20_M1A11_1 
D14	1	RT	IO_L31P_A19_M1CKE_1 
D16	1	RT	IO_L31N_A18_M1A12_1 
F13	1	RT	IO_L32P_A17_M1A8_1 
F14	1	RT	IO_L32N_A16_M1A9_1 
C15	1	RT	IO_L33P_A15_M1A10_1 
C16	1	RT	IO_L33N_A14_M1A4_1 
E15	1	RT	IO_L34P_A13_M1WE_1 
E16	1	RT	IO_L34N_A12_M1BA2_1 
F15	1	RT	IO_L35P_A11_M1A7_1 
F16	1	RT	IO_L35N_A10_M1A2_1 
G14	1	RT	IO_L36P_A9_M1BA0_1 
G16	1	RT	IO_L36N_A8_M1BA1_1 
H15	1	RT	IO_L37P_A7_M1A0_1 
H16	1	RT	IO_L37N_A6_M1A1_1 
G12	1	RT	IO_L38P_A5_M1CLK_1 
